input_text,target_text
מיהו השחקן שמגלם את ג'יימס בונד,רוג'ר מור
מה בירת איחוד האמירויות הערביות,אבו דאבי
מי ניגן בגיטרה בשיר valerie של המונקיז,לואי שלטון
מי מבצע את קולו של אילי בהאחרון מבינינו,אשלי ג'ונסון
כמה עונות יש בשיקאגו P.D.,6.0
מתי תהיה אליפות העולם הבאה,2022
שהוא הרכז ההתקפי של tampa bay buccaneers,ביירון לעפטוויטש
מי היה האיש האחרון שהוצא להורג על ידי כיתת יורים בארצות הברית,רוני לי גרדנר
איפה צולמה עונה שש של משחקי הכס,קרואטיה
את מי טום הנקס משחק בצעצוע של סיפור,שריף וודי
למי יש את ה on base percentage הגבוה ביותר ב MLB,טד ויליאמס
"מתי הכריזה ארה""ב על מלחמה בווייטנאם",1971
איזה שדה תעופה הוא הגדול ביותר בארצות הברית,נמל התעופה הבינלאומי הרטספילד-ג'קסון אטלנטה
don't be afraid of the dark מי שר,רוברט קרי
מי אמר אנחנו עדיין לא התחלנו להילחם,ג'ון פול ג'ונס
we are never getting back together מי שר,טיילור סוויפט
מתי השתמשו לראשונה באורות עץ חג המולד,1882
מי שיחקו בסופרבול ב-2014,סיאטל סיהוקס
מה הטמפרטורה בפאלו אלטו קליפורניה,69.0 מעלות פארנהייט
life is a bowl of cherries מי אמר,אתל מרמן
מהו הנשיא הרביעי אל הודו,מוראזיי דאסאי
איזה מדינות הם חלק מהאיחוד האירופאי,גרמניה
מי הן שלושת המדינות המאוכלסות ביותר בארצות הברית,פלורידה
מה הפרשי זמן  בין זמן פסיפיק לזמן  ההר,1.0 שעה
כמה קולות קיבלה כל מדינה צחת סעיף האיחוד,1.0
מי בקבוצה של אנגליה באליפות העולם,טונגה
days of our lives מתי יצא,1965-11-08
"מה המפל הגבוה ביותר בארה""ב",מפלי אולופנה
איפה נמצא שבר סן אנדראס,ארצות הברית
כמה פרקים של the waltons יש,221.0 אפיזודה
מתי ניצחו דטרויט tigers,1984
מתי עלתה man city לליגת העל,1992
מה הגובה של פייקס פיק בקולורדו,4302.0 מטר
מתי יצא קפטן אמריקה,2011-07-19
מי שיחק ברחובות סן פרנסיסקו,מייקל דאגלס
מתי יצא הטלפון עם מסך המגע הראשון,1992
מה שם המכשפה מהקוסם מארץ עוץ,אלפבה
מתי ניו זילנד הפכה למושבה בריטית,1840
מתי הארי פוטר והילד המקולל יצא בברודווי,2018-04-22
היכן מתרחש סיפור סינדרלה,צרפת
מי הוא הזמר המוביל בפרל ג'אם,אדי ודר
מי נמצא בניו אינגלנד פטריוטס,ניו יורק ג'טס
מי הקוורטרבק של הסינסינטי בנגלס,אנדי דלטון
כמה פעמים זכתה אנגליה בגביע העולם,1.0
מי שר את השיר אני לא יכול לחיות בלעדיך,הארי נילסון
מתי פעם אחרונה בוסטון ברואינס זכו בגביע,2011
מי זכה הכי הרבה בטור דה פראנס סטייג'ס,אדי מרקס
מי כתב what a tangled web we weave,וולטר סקוט
מי שגילה את תיאוריית אפקט הפרפר,אדוארד לורנץ
של מראה שחורה shut up and dance איפה צולם הפרק,הממלכה המאוחדת
האם הוואי חלק מיבשת צפון אמריקה,yes
אילו בעלי חיים נמצאים ברשימת המינים בסכנת הכחדה,נמר אמור
מי זכה בטור דה פראנס 1985,ברנאר אינו
כמה תחנות כוח גרעיניות יש בקליפוניה,1.0
NBAבכמה קבוצות שיחק שאק ב,6.0
באיזה עונה מת הארשל במתים המהלכים,9.0
מי זכתה בגביע העולם בכדורגל לנשים האחרון,ארצות הברית
מה שמות הקרים בתומס הקטר,אמילי
מתי הפעם האחרונה שפקיסטן זכו בגביע העולם,1992
מה שמו של יוצר הרובלוקס,אריק קאסל
באיזה מלון היה הטבח של לאס וגאס,מפרץ מאנדליי
מיהם השחקנים ב big lebowski,Jeff Bridges
מי מגלמת את הבחורה הרעה ביומני הנסיכה,מנדי מור
איפה היומן אמור להתקיים,ארצות הברית
מתי יצאה טלויזיית שחור לבן,1936
מי משחק את הדמויות במלך האריות,צ'יווטל אגיופור
מיהו ה starting quarterback של קבוצת vikings,קירק קאזינס
כמה מל יש בליטר אחד,1000.0 מיליליטר
מי מגלמת את רוז בשני גברים וחצי,מלאני לינסקי
מי כתב אמנות המירוץ בגשם,גארת'. סטיין
מתי מתחילה עונת הליגה לאלופות הבאה,2019-10-22
מי זכה בשנה שעברה בגמר ליגת האלופות,ליברפול
מתי לראשונה נבנה מרכז הסחר העולמי,1973
מי שר את השיר straight from the heart,בריאן אדמס
מי ניצח את ווימבלדון הגברים השנה,נובאק ג'וקוביץ'
מה גיל השתייה בפיליפינים,18.0 שנה
מתי מתחילה עונת ההוריקנים בארצות הברית,06-01
מהו שם המכונית הצהובה במכוניות,קרוז רמירז
מי קלע הכי הרבה נקודות באן-בי-איי,כרים עבדול-ג'באר
כמה עצמות יש בגוף האדם,206.0
כמה ספרים של הדרקון הראשון שלי יש,18.0
איפה נבנה סניף המקדונלד'ס הראשון אי פעם נבנה,ארצות הברית
"מתי יצא לאור הספר סיפורי נרניה: האריה, המכשפה וארון הבגדים",1950-10-16
מי משחק את אנסטסיה סטיל ב50 גוונים של אפור,דקוטה ג'ונסון
מי השחקן ששיחק את דוקטור סטריינג',בנדיקט קמברבאץ'
מיהו מאמן של ה cleveland cavaliers,ג'ון ביליין
מתי זכו הראמס בסופרבול,2000
שהקים את בית היתומים הפרטי הראשון בעיר ניו יורק,אלכסנדר המילטון
מאיפה הביטוי זה לא נגמר עד שהגברת השמנה תשיר,דיין קוק
מתי היה המוות האחרון על ידי כיתת יורים,2010-06-18
איך קוראים לאדם שרק אוכל דגים,פסקטריאניזם
מהי העיר הגדולה ביותר ביבשת של ארצות הברית,ג'קסונוויל
מי כיכב בדרקון: סיפורו של ברוס לי,ג'ייסון סקוט לי
מתי יצאו שומרי הגלקסיה,2014-08-01
"כמה זמן היא כהונת סנטור בארה""ב",6.0 שנה
מה שהיה הוואי לפני שהפכה למדינה,ממלכה
מי משחק ריק ומורטי בריק ומורטי,ג'סטין רוילנד
איפה הסרט מרכבת המלחמה צולם,מקסיקו
מה הגובה הנוכחי של הר אוורסט,8848.0 מטר
מי זכה ברוב עונות הדה וויס,בלייק שלטון
מי שיחק את האלק בסדרת הטלוויזיה,ביל ביקסבי
מי שר את השיר אני רוצה לדעת את שמך,The Whispers
של מי הקול של בת הים הקטנה,ג'ודי בנסון
מי שר את השיר ראיתי את הסימן,אייס אוף בייס
וורלד סיריס ב 2002 mlb מי זכה,לוס אנג'לס איינג'לס מאנהיים
מתי יצא הסרט הראשון של יום שישי ה -13,1980-01-01
nfl-מיהו האיש הגבוה ביותר ב,ריצ'רד סליי
מתי הם הפסיקו להשתמש בידית וצינור,1940
מה הצפיפות של הקרום היבשתי,2.833 other unit
מה שמו של הזיקית בפלונטר,פסקל
כמה רחוקה דה מוין מווטרלו איווה,128.7 מיל
מתי סיאטל סופרסוניקס עברו לאוקלהומה סיטי,2008–09
מתי התחילה והסתיימה מלחמת קוריאה,1950-06-25
loving you is easy cause you're beautiful מי שר,מיני ריפרטון
מי גילם את הגוויה בהחברים של אלכס,קווין קוסטנר
על שם מי נקרא גביע הסופרבול,וינס לומברדי
do you think you're better off alone מי שר את,אליס דיג'יי
minnesota twinsלמי יש הכי הרבה פגיעות ב,סם רייס
כמה מדינות נמצאות ביבשת אפריקה,54.0
מה הוא הציפור הכי חכם בעולם,נסטור הררי קיאה
מי מגלם את בורומיר בשר הטבעות,שון בין
מי שר  i say a little prayer for you,דיון וורוויק
war of the roses-מי שיחק ב,מריאן זגברכט
durant play for before the warriors  ב את מי שיחק before the warriors,אוקלהומה סיטי ת'אנדר
מי זכה השנה באליפות ארצות הברית הפתוחה בגולף,גארי וודלנד
האם יש דבר כזה יום הגברים הבינלאומי,yes
where is the love מי הזמר המקורי של,רוברטה פלאק
מי שיחק את רמזי בולטון במשחקי הכס,איוואן רהון
מתי יצא הסרט a new hope  של מלחמת הכוכבים,1977-05-25
מה האוכלוסיה של אביב הכסף מרילנד,71452.0
"כמה אלבומים יש ללהקה של ""dave matthews""",105.0
malcolm in the middle מי שר את שיר הפתיחה,They Might Be Giants
כמה מיילים מאטלנטה ג'ורג'יה לניו יורק,862.9 מיל
כמה קבוצות אן-בי-איי מעולם לא זכו באליפות,11.0
בטורונטו שבקנדה yonge כמה ארוך רחוב,1178.0 מיל
כמה פעמים מאנחטן אונטד זכה בליגת האלופות,3.0
מהן השפות הרשמיות של דרום אפריקה,אפריקאנס
מי הוא המנהל הכללי של הניו יורק יאנקיז,בריאן קשמן
מהי הפעם האחרונה ש blackhawks זכו ב stanley cup,2015
מי משחק את thomas ב the bold and the beautiful,אדם גרגורי
מי משחק ב  night of the museum,אוון וילסון
מיהו הקשר הגבוהה ביותר בליגת NBA,גאורגה מורשאן
מיהו הקפטן של קבוצת אוסטרליאן cricket,טים פיין
למי הפסידו ה steelers בסופרבול,גרין ביי פקרס
מיהו שחקן ההגנת מרכז הפותח של הניו יורק,סאם דרנולד
מה אורך כהונה של נציגים בבית הנבחרים,2.0 שנה
